rsID	206592
HBS1L	992
APOE	452
PRNP	302
BMI	296
GBA	274
PTBP2	260
RGS14	255
BRCA1	238
FTO	234
ESR1	229
STAT4	212
TCF7L2	211
CETP	209
ABO	202
CAT	200
CRP	168
CDKAL1	168
SLE	164
PCSK9	164
SMAD3	156
LDL	151
PPARG	149
LDLR	149
NOD2	143
ALDH2	142
PPAP2B	141
COPD	139
MTHFR	137
GCKR	136
GRASP	134
CHRNA3	134
SIK2	129
CYP2C19	129
IL6R	126
HCP5	124
HFE	123
CXCR5	123
BRAF	123
BDNF	120
LPL	119
FADS1	119
SMG6	118
GRIN2B	117
ABCA1	117
SLC39A1	115
IL6	115
CDKN2A	115
FGFR2	114
HLA	113
MC4R	112
LGR4	111
HSD17B10	111
LDLRAP1	110
TRIM71	107
PAH	103
NSF	103
GCAT	103
ACE	103
IGHG3	100
CANCER	100
TP53	99
BRCA2	99
TNFAIP3	97
PLAUR	96
FUT2	96
CTLA4	96
APC	96
HDL	95
GSDMA	95
CHST14	95
MC1R	94
MARCH5	94
CSMD2	94
ATG16L1	94
VDR	93
STEAP4	93
DCC	93
TERT	92
STK17B	92
IL2RA	92
OPRM1	91
SULF1	90
GHR	90
KCNQ1	88
WTCCC	87
NEDD4	87
ITPR1	87
ZNF18	86
SH2B3	85
IL2	85
HMGA2	85
ZFP36L1	84
UMOD	84
TNF	84
TLR4	84
IBD	84
ACOT7	84
IL33	83
STAT1	82
NF1	82
LRRK2	82
EGFR	81
CAD	81
APOB	81
LPA	80
ALS	80
SLC26A9	79
IGF1	79
CR1	79
STAT3	78
SLC30A8	78
PNPLA3	78
IL23R	78
FADS2	78
CSMD1	77
MTMR3	76
IRF4	76
O	75
IGF2BP2	75
CHRNA5	75
BMP2	75
ADHD	75
SLC2A8	74
PPIP5K1	74
MDM4	74
LRRC7	74
IL10	74
DMD	74
CALCOCO2	74
CACNA1C	74
RBFOX1	73
NAFLD	73
CASK	73
WLS	72
SLC22A12	72
SCN5A	72
PTPN22	72
TOMM40	71
SLC39A8	71
PARP1	71
NRXN3	71
NRG1	71
PTPRN2	70
PTPRD	70
PARK2	70
MYO1A	70
JAZF1	70
IL1RL1	70
DRD2	70
