PUB_MONTH,PUBLICATIONS,STUDIES
2010-07,1,1
2010-09,1,1
2010-10,1,1
2010-11,1,5
2011-05,1,1
2011-06,1,1
2011-08,2,2
2012-06,1,1
2012-09,1,1
2012-11,2,3
2012-12,1,1
2013-01,2,2
2013-02,1,1
2013-03,1,1
2013-05,1,1
2013-08,1,1
2013-09,1,1
2013-10,2,2
2013-11,1,1
2013-12,2,2
2014-02,1,1
2014-03,2,2
2014-04,1,1
2014-05,1,1
2014-06,3,3
2014-08,1,1
2014-09,3,3
2014-10,2,2
2014-12,1,1
2015-01,2,2
2015-03,4,6
2015-04,1,1
2015-05,1,1
2015-06,3,3
2015-07,2,2
2015-08,1,1
2015-09,1,1
2016-01,3,5
2016-03,1,1
