URI,COUNT(*)
http://www.ebi.ac.uk/efo/EFO_0000249,56
http://www.ebi.ac.uk/efo/EFO_0001360,54
http://www.ebi.ac.uk/efo/EFO_0000692,49
http://www.ebi.ac.uk/efo/EFO_0000289,49
http://www.ebi.ac.uk/efo/EFO_0004340,47
http://www.ebi.ac.uk/efo/EFO_0000305,45
http://www.ebi.ac.uk/efo/EFO_0000270,43
http://www.ebi.ac.uk/efo/EFO_0001663,36
http://www.ebi.ac.uk/efo/EFO_0004530,34
http://www.ebi.ac.uk/efo/EFO_0005842,32
http://www.ebi.ac.uk/efo/EFO_0004612,31
http://www.ebi.ac.uk/efo/EFO_0003885,30
http://www.ebi.ac.uk/efo/EFO_0003923,30
http://www.ebi.ac.uk/efo/EFO_0004611,29
http://www.ebi.ac.uk/efo/EFO_0001645,28
http://www.ebi.ac.uk/efo/EFO_0000685,28
http://www.ebi.ac.uk/efo/EFO_0002508,25
http://www.ebi.ac.uk/efo/EFO_0003761,25
http://www.ebi.ac.uk/efo/EFO_0004339,24
http://purl.obolibrary.org/obo/GO_0097327,24
http://www.ebi.ac.uk/efo/EFO_0000384,23
http://www.ebi.ac.uk/efo/EFO_0004325,22
http://www.ebi.ac.uk/efo/EFO_0003888,22
http://www.ebi.ac.uk/efo/EFO_0003829,22
http://www.ebi.ac.uk/efo/EFO_0002690,21
http://www.ebi.ac.uk/efo/EFO_0001073,21
http://www.ebi.ac.uk/efo/EFO_0000180,20
http://www.ebi.ac.uk/efo/EFO_0000253,20
http://www.ebi.ac.uk/efo/EFO_0001071,19
http://www.ebi.ac.uk/efo/EFO_0004458,19
http://www.ebi.ac.uk/efo/EFO_0001365,19
http://www.ebi.ac.uk/efo/EFO_0000537,17
http://www.ebi.ac.uk/efo/EFO_0001359,17
http://www.ebi.ac.uk/efo/EFO_0000729,16
http://www.ebi.ac.uk/efo/EFO_0004574,16
http://www.ebi.ac.uk/efo/EFO_0000341,16
http://www.ebi.ac.uk/efo/EFO_0004531,15
http://www.ebi.ac.uk/efo/EFO_0000712,14
http://www.ebi.ac.uk/efo/EFO_0003884,14
http://www.ebi.ac.uk/efo/EFO_0004761,14
http://www.ebi.ac.uk/efo/EFO_0004465,14
http://www.ebi.ac.uk/efo/EFO_0004502,14
http://www.ebi.ac.uk/efo/EFO_0003060,13
http://www.ebi.ac.uk/efo/EFO_0004847,13
http://www.ebi.ac.uk/efo/EFO_0004329,13
http://www.ebi.ac.uk/efo/EFO_0004645,13
http://www.ebi.ac.uk/efo/EFO_0004220,13
http://www.ebi.ac.uk/efo/EFO_0004318,13
http://www.ebi.ac.uk/efo/EFO_0000676,12
http://www.ebi.ac.uk/efo/EFO_0004703,12
http://www.ebi.ac.uk/efo/EFO_0004570,12
http://www.ebi.ac.uk/efo/EFO_0003892,12
http://www.ebi.ac.uk/efo/EFO_0004682,11
http://www.ebi.ac.uk/efo/EFO_0004509,11
http://www.ebi.ac.uk/efo/EFO_0004647,11
http://www.ebi.ac.uk/efo/EFO_0004505,11
http://www.ebi.ac.uk/efo/EFO_0000220,11
http://www.ebi.ac.uk/efo/EFO_0004527,10
http://purl.obolibrary.org/obo/GO_0036276,10
http://www.ebi.ac.uk/efo/EFO_0006335,10
http://www.ebi.ac.uk/efo/EFO_0003924,10
http://www.ebi.ac.uk/efo/EFO_0004300,10
http://www.ebi.ac.uk/efo/EFO_0002618,10
http://purl.obolibrary.org/obo/GO_0036273,10
http://www.ebi.ac.uk/efo/EFO_0000649,10
http://www.ebi.ac.uk/efo/EFO_0000292,10
http://www.ebi.ac.uk/efo/EFO_0004639,10
http://www.ebi.ac.uk/efo/EFO_0004342,10
http://www.ebi.ac.uk/efo/EFO_0004704,9
http://www.ebi.ac.uk/efo/EFO_0004541,9
http://www.ebi.ac.uk/efo/EFO_0002506,9
http://www.ebi.ac.uk/efo/EFO_0004246,9
http://www.ebi.ac.uk/efo/EFO_0004365,9
http://www.ebi.ac.uk/efo/EFO_0004735,9
http://www.ebi.ac.uk/efo/EFO_0004461,9
http://www.ebi.ac.uk/efo/EFO_0004308,9
