URI,COUNT(*)
http://www.ebi.ac.uk/efo/EFO_0000249,31
http://www.ebi.ac.uk/efo/EFO_0001360,29
http://www.ebi.ac.uk/efo/EFO_0000289,23
http://www.ebi.ac.uk/efo/EFO_0000692,22
http://www.ebi.ac.uk/efo/EFO_0004530,20
http://www.ebi.ac.uk/efo/EFO_0004339,19
http://www.ebi.ac.uk/efo/EFO_0000305,19
http://www.ebi.ac.uk/efo/EFO_0001663,18
http://www.ebi.ac.uk/efo/EFO_0004612,17
http://www.ebi.ac.uk/efo/EFO_0004340,17
http://www.ebi.ac.uk/efo/EFO_0004611,17
http://www.ebi.ac.uk/efo/EFO_0000270,17
http://www.ebi.ac.uk/efo/EFO_0003885,17
http://www.ebi.ac.uk/efo/EFO_0003923,16
http://www.ebi.ac.uk/efo/EFO_0001645,16
http://www.ebi.ac.uk/efo/EFO_0002508,15
http://www.ebi.ac.uk/efo/EFO_0003829,13
http://www.ebi.ac.uk/efo/EFO_0001073,13
http://www.ebi.ac.uk/efo/EFO_0005842,12
http://www.ebi.ac.uk/efo/EFO_0003888,12
http://www.ebi.ac.uk/efo/EFO_0003761,12
http://www.ebi.ac.uk/efo/EFO_0000253,12
http://www.ebi.ac.uk/efo/EFO_0000685,11
http://www.ebi.ac.uk/efo/EFO_0002690,11
http://www.ebi.ac.uk/efo/EFO_0000384,11
http://www.ebi.ac.uk/efo/EFO_0001359,10
http://www.ebi.ac.uk/efo/EFO_0004458,10
http://www.ebi.ac.uk/efo/EFO_0004325,10
http://www.ebi.ac.uk/efo/EFO_0001071,9
http://www.ebi.ac.uk/efo/EFO_0004502,9
http://www.ebi.ac.uk/efo/EFO_0004220,9
http://www.ebi.ac.uk/efo/EFO_0000729,8
http://www.ebi.ac.uk/efo/EFO_0003884,8
http://www.ebi.ac.uk/efo/EFO_0004465,8
http://www.ebi.ac.uk/efo/EFO_0000537,8
http://www.ebi.ac.uk/efo/EFO_0000180,8
http://purl.obolibrary.org/obo/GO_0097332,7
http://www.ebi.ac.uk/efo/EFO_0004531,7
http://www.ebi.ac.uk/efo/EFO_0000712,7
